
File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Na,Na Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ba,Ba Err,Cal Check
58,09-25-2016 13:46,Supervisor,OBSIDIAN,36,,,MudrockMajor,MudrockMajor,  3.0,,0.0,,0.0,,0.0,  0.5958,  0.0934,< LOD,1497.3627, 12.2570,  0.5416, 24.3271,  0.4190,  0.0641,  0.0401,  0.3428,  0.0270,  3.2365,  0.0656,  0.4982,  0.0148,  0.4704,  0.0114,  0.0104,  0.0062,  0.0036,  0.0033,  0.0288,  0.0046,  3.2212,  0.0259,  0.0012,  0.0001,  0.0066,  0.0005,< LOD,  0.0037,  0.0047,  0.0035,< LOD,  0.3774,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
59,09-25-2016 13:49,Supervisor,OBSIDIAN,36,,,Spectrum Only,,  8.0,,0.0,,0.0,,0.0,Passed
60,09-25-2016 13:49,Supervisor,OBSIDIAN,36,,,Spectrum Only,, 30.0,,0.0,,0.0,,0.0,Passed
61,09-25-2016 14:02,Supervisor,OBSIDIAN,36,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Na,Na Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ba,Ba Err,Cal Check
62,09-25-2016 14:03,Supervisor,OBSIDIAN,36,,,MudrockMajor,MudrockMajor,  7.0,,0.0,,0.0,,0.0,  0.5775,  0.0631,< LOD,1415.6407, 12.2202,  0.3532, 24.8105,  0.2766,  0.0534,  0.0251,  0.3471,  0.0190,  3.2720,  0.0431,  0.5340,  0.0100,  0.4713,  0.0075,  0.0084,  0.0040,  0.0023,  0.0021,  0.0305,  0.0030,  3.2697,  0.0171,  0.0013,  0.0001,  0.0071,  0.0003,< LOD,  0.0023,  0.0088,  0.0023,< LOD,  0.2452,Passed
63,09-25-2016 14:04,Supervisor,OBSIDIAN,36,,,MudrockMajor,MudrockMajor,  9.0,,0.0,,0.0,,0.0,  0.0000,  0.0000,< LOD,51768.3359,  0.9594,  0.1396,  1.7594,  0.0585,  0.3050,  0.0535, 33.3046,  0.1474,< LOD,  0.0115, 20.1373,  0.0685,  0.0574,  0.0016,< LOD,  0.0022,< LOD,  0.0020,  0.0517,  0.0033,  0.4626,  0.0040,< LOD,  0.0000,  0.0116,  0.0004,< LOD,  0.0023,< LOD,  0.0022,< LOD,  0.0899,Passed
64,09-25-2016 14:10,Supervisor,OBSIDIAN,36,,,MudrockMajor,MudrockMajor,  4.0,,0.0,,0.0,,0.0,  0.6574,  0.1415,< LOD,457.1118, 14.0172,  0.4971, 26.1914,  0.3758,  0.0791,  0.0342,  0.3282,  0.0237,  3.6132,  0.0600,  0.5751,  0.0138,  0.4878,  0.0103,  0.0151,  0.0055,  0.0055,  0.0030,  0.0292,  0.0040,  3.4462,  0.0234,  0.0015,  0.0001,  0.0075,  0.0005,< LOD,  0.0032,  0.0077,  0.0031,< LOD,  0.3321,Passed
65,09-25-2016 14:16,Supervisor,OBSIDIAN,36,,,MudrockMajor,MudrockMajor,  5.0,,0.0,,0.0,,0.0,  0.5173,  0.0836,< LOD,2696.6357, 11.7823,  0.4105, 24.0254,  0.3213,  0.0758,  0.0305,  0.1774,  0.0198,  3.2080,  0.0503,  0.4954,  0.0113,  0.4399,  0.0084,  0.0112,  0.0047,  0.0034,  0.0025,  0.0247,  0.0034,  3.0903,  0.0195,  0.0012,  0.0001,  0.0065,  0.0004,< LOD,  0.0028,  0.0058,  0.0027,< LOD,  0.2815,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
66,09-25-2016 14:20,Supervisor,OBSIDIAN,36,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
67,09-25-2016 14:21,Supervisor,OBSIDIAN,36,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
68,09-25-2016 14:21,Supervisor,OBSIDIAN,36,,,Spectrum Only,,  7.0,,0.0,,0.0,,0.0,Passed
69,09-25-2016 14:25,Supervisor,OBSIDIAN,36,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Na,Na Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ba,Ba Err,Cal Check
